key_bom,bom_title,bom_budget,bom_worldwide_revenue,revenue,bom_release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,release_year,bom_runtime,runtime
b10,(500) days of summer,7500000.0,60722734.0,7.096364533333333,2009-07-17 00:00:00,07,3.0,198,28,2009,1 hrs. 35 min.,95.0
b24,10 things i hate about you,30000000.0,53478166.0,0.7826055333333334,1999-03-31 00:00:00,03,1.0,90,13,1999,1 hrs. 37 min.,97.0
b27,"""10,000 b.c.""",105000000.0,269784201.0,1.5693733428571428,2008-03-07 00:00:00,03,1.0,67,9,2008,1 hrs. 49 min.,109.0
b38,102 dalmatians,85000000.0,183611771.0,1.1601384823529413,2000-11-22 00:00:00,11,4.0,327,47,2000,1 hrs. 44 min.,104.0
b39,10th &amp; wolf,8000000.0,143451.0,-0.982068625,2006-08-18 00:00:00,08,3.0,230,33,2006,1 hrs. 50 min.,110.0
b48,12 years a slave,20000000.0,187733202.0,8.3866601,2013-10-18 00:00:00,10,4.0,291,41,2013,2 hrs. 13 min.,133.0
b50,127 hours,18000000.0,60738797.0,2.374377611111111,2010-11-05 00:00:00,11,4.0,309,44,2010,1 hrs. 33 min.,93.0
b54,13 going on 30,37000000.0,96455697.0,1.6069107297297298,2004-04-23 00:00:00,04,2.0,114,16,2004,1 hrs. 37 min.,97.0
b55,13 hours: the secret soldiers of benghazi,50000000.0,69411370.0,0.3882274,2016-01-15 00:00:00,01,1.0,15,2,2016,2 hrs. 24 min.,144.0
b62,1408,25000000.0,131998242.0,4.27992968,2007-06-22 00:00:00,06,2.0,173,24,2007,1 hrs. 34 min.,94.0
b66,15 minutes,60000000.0,56359980.0,-0.060667,2001-03-09 00:00:00,03,1.0,68,9,2001,2 hrs. 0 min.,120.0
b80,1941,35000000.0,92455742.0,1.6415926285714286,1979-12-14 00:00:00,12,4.0,348,49,1979,1 hrs. 58 min.,118.0
b89,2 fast 2 furious,76000000.0,236350661.0,2.1098771184210525,2003-06-06 00:00:00,06,2.0,157,22,2003,1 hrs. 41 min.,101.0
b90,2 guns,61000000.0,131940411.0,1.1629575573770492,2013-08-02 00:00:00,08,3.0,214,30,2013,1 hrs. 49 min.,109.0
b110,2012,200000000.0,769679473.0,2.848397365,2009-11-13 00:00:00,11,4.0,317,45,2009,2 hrs. 38 min.,158.0
b119,2046,12000000.0,19470239.0,0.6225199166666666,2005-08-05 00:00:00,08,3.0,217,31,2005,2 hrs. 9 min.,129.0
b121,21,35000000.0,157927340.0,3.5122097142857145,2008-03-28 00:00:00,03,1.0,88,12,2008,2 hrs. 3 min.,123.0
b122,21 grams,20000000.0,60427839.0,2.02139195,2003-11-21 00:00:00,11,4.0,325,46,2003,2 hrs. 5 min.,125.0
b123,21 jump street,42000000.0,201585328.0,3.7996506666666665,2012-03-16 00:00:00,03,1.0,76,11,2012,1 hrs. 49 min.,109.0
b124,21 and over,13000000.0,48065672.0,2.6973593846153845,2013-03-01 00:00:00,03,1.0,60,8,2013,1 hrs. 33 min.,93.0
b126,22 jump street,50000000.0,331333876.0,5.62667752,2014-06-13 00:00:00,06,2.0,164,23,2014,1 hrs. 52 min.,112.0
b131,25th hour,5000000.0,23928503.0,3.7857006,2002-12-19 00:00:00,12,4.0,353,50,2002,2 hrs. 14 min.,134.0
