,link,name,budget,rev_tot,rev_lif,rel_dt,runtime,distributor,genre,rating,awards
10,http://www.boxofficemojo.com/movies/?id=500daysofsummer.htm,(500) Days of Summer,7500000.0,32391374.0,,17-Jul-09,1 hrs. 35 min.,Fox Searchlight,Romance,PG-13,No Academy Awards Information
24,http://www.boxofficemojo.com/movies/?id=10thingsihateaboutyou.htm,10 Things I Hate About You,30000000.0,38178166.0,,31-Mar-99,1 hrs. 37 min.,Buena Vista,Romantic Comedy,PG-13,No Academy Awards Information
27,http://www.boxofficemojo.com/movies/?id=10000bc.htm,"""10,000 B.C.""",105000000.0,94784201.0,,7-Mar-08,1 hrs. 49 min.,Warner Bros.,Period Adventure,PG-13,No Academy Awards Information
38,http://www.boxofficemojo.com/movies/?id=102dalmatians.htm,102 Dalmatians,85000000.0,66957026.0,,22-Nov-00,1 hrs. 44 min.,Buena Vista,Family Comedy,G,Nominated for One Oscar.
39,http://www.boxofficemojo.com/movies/?id=10thandwolf.htm,10th &amp; Wolf,8000000.0,54702.0,,18-Aug-06,1 hrs. 50 min.,ThinkFilm,Crime Drama,R,No Academy Awards Information
48,http://www.boxofficemojo.com/movies/?id=twelveyearsaslave.htm,12 Years a Slave,20000000.0,56671993.0,,18-Oct-13,2 hrs. 13 min.,Fox Searchlight,Drama,R,"""Nominated for Nine Oscars, Including Three Wins."""
50,http://www.boxofficemojo.com/movies/?id=127hours.htm,127 Hours,18000000.0,18335230.0,,5-Nov-10,1 hrs. 33 min.,Fox Searchlight,Drama,R,Nominated for Six Oscars.
54,http://www.boxofficemojo.com/movies/?id=13goingon30.htm,13 Going on 30,37000000.0,57231747.0,,23-Apr-04,1 hrs. 37 min.,Sony (Revolution),Fantasy Comedy,PG-13,No Academy Awards Information
55,http://www.boxofficemojo.com/movies/?id=13hoursthesecretsoldiersofbenghazi.htm,13 Hours: The Secret Soldiers of Benghazi,50000000.0,52853219.0,,15-Jan-16,2 hrs. 24 min.,Paramount,Drama,R,Nominated for One Oscar.
62,http://www.boxofficemojo.com/movies/?id=1408.htm,1408,25000000.0,71985628.0,,22-Jun-07,1 hrs. 34 min.,MGM (Weinstein),Horror,PG-13,No Academy Awards Information
63,http://www.boxofficemojo.com/movies/?id=1492.htm,1492: Conquest of Paradise,47000000.0,7191399.0,,9-Oct-92,2 hrs. 28 min.,Paramount,Historical Drama,PG-13,No Academy Awards Information
66,http://www.boxofficemojo.com/movies/?id=15minutes.htm,15 Minutes,60000000.0,24403552.0,,9-Mar-01,2 hrs. 0 min.,New Line,Thriller,R,No Academy Awards Information
80,http://www.boxofficemojo.com/movies/?id=1941.htm,1941,35000000.0,31755742.0,,14-Dec-79,1 hrs. 58 min.,Universal,Period Comedy,PG,Nominated for Three Oscars.
89,http://www.boxofficemojo.com/movies/?id=2fast2furious.htm,2 Fast 2 Furious,76000000.0,127154901.0,,6-Jun-03,1 hrs. 41 min.,Universal,Action,PG-13,No Academy Awards Information
90,http://www.boxofficemojo.com/movies/?id=2guns.htm,2 Guns,61000000.0,75612460.0,,2-Aug-13,1 hrs. 49 min.,Universal,Action Comedy,R,No Academy Awards Information
100,http://www.boxofficemojo.com/movies/?id=200cigarettes.htm,200 Cigarettes,6000000.0,6852450.0,,26-Feb-99,1 hrs. 41 min.,Paramount,Comedy,R,No Academy Awards Information
101,http://www.boxofficemojo.com/movies/?id=2001.htm,2001: A Space Odyssey,12000000.0,56715371.0,56954992,3-Apr-68,2 hrs. 19 min.,MGM,Sci-Fi Adventure,G,No Academy Awards Information
110,http://www.boxofficemojo.com/movies/?id=2012.htm,2012,200000000.0,166112167.0,,13-Nov-09,2 hrs. 38 min.,Sony / Columbia,Action Drama,PG-13,No Academy Awards Information
119,http://www.boxofficemojo.com/movies/?id=2046.htm,2046,12000000.0,1444588.0,,5-Aug-05,2 hrs. 9 min.,Sony Classics,Foreign,R,No Academy Awards Information
121,http://www.boxofficemojo.com/movies/?id=21.htm,21,35000000.0,81159365.0,,28-Mar-08,2 hrs. 3 min.,Sony / Columbia,Drama,PG-13,No Academy Awards Information
122,http://www.boxofficemojo.com/movies/?id=21grams.htm,21 Grams,20000000.0,16290476.0,,21-Nov-03,2 hrs. 5 min.,Focus Features,Drama,R,Nominated for Two Oscars.
123,http://www.boxofficemojo.com/movies/?id=21jumpstreet.htm,21 Jump Street,42000000.0,138447667.0,,16-Mar-12,1 hrs. 49 min.,Sony / Columbia,Action Comedy,R,No Academy Awards Information
124,http://www.boxofficemojo.com/movies/?id=21andover.htm,21 and Over,13000000.0,25682380.0,,1-Mar-13,1 hrs. 33 min.,Relativity,Comedy,R,No Academy Awards Information
126,http://www.boxofficemojo.com/movies/?id=21jumpstreet2.htm,22 Jump Street,50000000.0,191719337.0,,13-Jun-14,1 hrs. 52 min.,Sony / Columbia,Action Comedy,R,No Academy Awards Information
131,http://www.boxofficemojo.com/movies/?id=25thhour.htm,25th Hour,5000000.0,13084595.0,,19-Dec-02,2 hrs. 14 min.,Buena Vista,Crime Drama,R,No Academy Awards Information
132,http://www.boxofficemojo.com/movies/?id=27dresses.htm,27 Dresses,30000000.0,76808654.0,,18-Jan-08,1 hrs. 47 min.,Fox,Romantic Comedy,PG-13,No Academy Awards Information
133,http://www.boxofficemojo.com/movies/?id=28days.htm,28 Days,43000000.0,37170488.0,,14-Apr-00,1 hrs. 43 min.,Sony / Columbia,Comedy / Drama,PG-13,No Academy Awards Information
134,http://www.boxofficemojo.com/movies/?id=28dayslater.htm,28 Days Later,8000000.0,45064915.0,45064915,27-Jun-03,1 hrs. 53 min.,Fox Searchlight,Horror,R,No Academy Awards Information
143,http://www.boxofficemojo.com/movies/?id=threedaystokill.htm,3 Days to Kill,28000000.0,30697999.0,,21-Feb-14,1 hrs. 57 min.,Relativity,Action Thriller,PG-13,No Academy Awards Information
154,http://www.boxofficemojo.com/movies/?id=3strikes.htm,3 Strikes,3400000.0,9832166.0,,1-Mar-00,1 hrs. 22 min.,MGM,Crime Comedy,R,No Academy Awards Information
159,http://www.boxofficemojo.com/movies/?id=30daysofnight.htm,30 Days of Night,30000000.0,39568996.0,,19-Oct-07,1 hrs. 53 min.,Sony / Columbia,Horror,R,No Academy Awards Information
160,http://www.boxofficemojo.com/movies/?id=30minutesorless.htm,30 Minutes or Less,28000000.0,37053924.0,,12-Aug-11,1 hrs. 23 min.,Sony / Columbia,Action Comedy,R,No Academy Awards Information
162,http://www.boxofficemojo.com/movies/?id=300.htm,300,65000000.0,210614939.0,,9-Mar-07,1 hrs. 57 min.,Warner Bros.,Period Action,R,No Academy Awards Information
163,http://www.boxofficemojo.com/movies/?id=3000milestograceland.htm,3000 Miles to Graceland,62000000.0,15749959.0,,23-Feb-01,2 hrs. 5 min.,Warner Bros.,Action Comedy,R,No Academy Awards Information
164,http://www.boxofficemojo.com/movies/?id=300sequel.htm,300: Rise of An Empire,110000000.0,106580051.0,,7-Mar-14,1 hrs. 42 min.,Warner Bros.,Period Action,R,No Academy Awards Information
174,http://www.boxofficemojo.com/movies/?id=310toyuma.htm,3:10 to Yuma (2007),55000000.0,53606916.0,,7-Sep-07,1 hrs. 57 min.,Lionsgate,Western,R,Nominated for Two Oscars.
179,http://www.boxofficemojo.com/movies/?id=42.htm,42,40000000.0,95020213.0,,12-Apr-13,2 hrs. 8 min.,Warner Bros.,Sports Drama,PG-13,No Academy Awards Information
