index,key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,holiday_season,runtime,mpaa_rating,bom_awards,bom_awards_scr,actor_clean,director_clean,writer_clean,distributor_clean,composer_clean,cinematographer_clean,producer_clean,actor_score,director_score,writer_score,distributor_score,composer_score,cinematographer_score,producer_score
0,,w364,o22747,"""6,000 enemies""",1939,204000.0,358000.0,0.7549019607843137,2039-06-09 00:00:00,6.0,2.0,160.0,23.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,,w14968,o6022,"""a girl, a guy and a gob""",1941,412000.0,848000.0,1.058252427184466,2041-03-14 00:00:00,3.0,1.0,73.0,10.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,,w960,,"""alexander and the terrible, horrible, no good, very bad day """,,28000000.0,101400000.0,2.6214285714285714,,,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,b739,,,"""alexander and the terrible, horrible, no good, very bad day""",,28000000.0,101379287.0,2.6206888214285717,,,,,,,,2.0,,0.0,"['Steve Carell', 'Jennifer Garner', 'Bella Thorne', 'Dylan Minnette', 'Megan Mullally', 'Jennifer Coolidge']",['Miguel Arteta'],['Rob Lieber'],['Buena Vista'],['Christophe Beck'],['Ellis W. Carter'],['Shawn Levy'],32.137159425414765,1.886922927579365,2.6206888214285717,3.754049241719004,1.1720251386306744,5.670261366662787,0.6044559136611699
4,b1334,,,"""baby, it's you""",,3000000.0,1867792.0,-0.37740266666666666,,,,,,,,4.0,,0.0,['Rosanna Arquette'],[''],[''],['Paramount'],[''],['Michael Ballhaus'],[''],-0.6859468833333333,0.0,0.0,8.186987636001584,0.0,5.595707509670296,0.0
5,b1662,w3520,o15817,"""bert rigby, you're a fool""",24-Feb,7000000.0,75868.0,-0.9891617142857144,1989-02-24 00:00:00,2.0,1.0,55.0,8.0,1.0,,4.0,,0.0,['Anne Bancroft'],[''],[''],['Warner Bros.'],['Ralph Burns'],['Jan de Bont'],['George Shapiro'],5.219625296800134,0.0,0.0,5.157735405996123,16.119434002812664,1.8370137721960582,-0.9891617142857144
6,b1778,w3865,o2465,"""big mommas: like father, like son""",2011,32000000.0,82686066.0,1.5839395625,2011-02-18 00:00:00,2.0,1.0,49.0,7.0,1.0,,3.0,,0.0,"['Martin Lawrence', 'Brandon T. Jackson', 'Portia Doubleday', 'Jessica Lucas', 'Ana Ortiz', 'Ken Jeong']",['John Whitesell'],"['Matthew Fogel', 'Don Rhymer']",['Fox'],['David Newman'],['Anthony B. Richmond'],['Arnon Milchan'],12.384375242081035,0.7599923315213585,1.8682761989847285,5.646431275360688,1.9003030828089988,1.823121571152051,6.531154352219583
7,b3073,w8228,,"""corrina, corrina """,1994,22000000.0,20164171.0,-0.08344677272727273,1994-08-12 00:00:00,8.0,3.0,224.0,32.0,0.0,,2.0,,0.0,"['Whoopi Goldberg', 'Ray Liotta']",['Jessie Nelson'],[''],['New Line'],['Thomas Newman'],['Bruce Surtees'],"['Bernie Goldmann', 'Steve Tisch']",13.686255382936835,2.619510992869875,0.0,3.260676036838829,3.9639227372249297,2.906612941947048,4.1283605312480915
8,b3186,w8751,,"""cry, the beloved country (1995 film)""",1995,4000000.0,676525.0,-0.83086875,1995-12-15 00:00:00,12.0,4.0,349.0,50.0,0.0,,3.0,,0.0,"['James Earl Jones', 'Richard Harris']",[''],[''],['Miramax'],['John Barry'],['Paul Gilpin'],"['Anant Singh', 'Harry Alan Towers']",0.7709479527777778,0.0,0.0,7.1781160245824225,3.3493685228162304,-0.83086875,-1.6617375
9,,w9032,o1527,"""dance, fools, dance""",1931,234000.0,1268000.0,4.418803418803419,2031-02-07 00:00:00,2.0,1.0,38.0,5.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
