key_bom,key_wiki,key_omdb,wiki_budget,wiki_gross,bom_budget,bom_domestic_gross,title,year,budget,gross
b27,w123,,105000000.0,269800000.0,105000000.0,94784201.0,"""""""10,000 bc """"""",2008,105000000.0,269800000.0
b38,w299,o10558,85000000.0,183600000.0,85000000.0,66957026.0,102 dalmatians,2000,85000000.0,183600000.0
b48,w147,,17100000.0,187700000.0,20000000.0,56671993.0,12 years a slave ,2013,17100000.0,187700000.0
b50,w302,o7878,18000000.0,60700000.0,18000000.0,18335230.0,127 hours,yes,18000000.0,60700000.0
b55,w160,,50000000.0,70000000.0,50000000.0,52853219.0,13 hours: the secret soldiers of benghazi,2016,50000000.0,70000000.0
b62,w338,,25000000.0,132000000.0,25000000.0,71985628.0,1408,2007,25000000.0,132000000.0
b63,w339,o7430,47000000.0,7191399.0,47000000.0,7191399.0,1492: conquest of paradise,8-Oct,47000000.0,7191399.0
b66,w177,o19945,42000000.0,56300000.0,60000000.0,24403552.0,15 minutes,2001,42000000.0,56300000.0
b100,w306,o2008,6000000.0,6852450.0,6000000.0,6852450.0,200 cigarettes,1999,6000000.0,6852450.0
b110,w353,,200000000.0,769700000.0,200000000.0,166112167.0,2012,2009,200000000.0,769700000.0
b126,w201,o9866,84500000.0,331300000.0,50000000.0,191719337.0,22 jump street,2014,84500000.0,331300000.0
b131,w213,o16175,5000000.0,23900000.0,5000000.0,13084595.0,25th hour,2002,5000000.0,23900000.0
b132,w215,o16433,30000000.0,160300000.0,30000000.0,76808654.0,27 dresses,2008,30000000.0,160300000.0
b143,w24,o9867,28000000.0,52600000.0,28000000.0,30697999.0,3 days to kill,yes,28000000.0,52600000.0
b154,w39,,3400000.0,9800000.0,3400000.0,9832166.0,3 strikes ,2000,3400000.0,9800000.0
b160,w230,o2413,28000000.0,40500000.0,28000000.0,37053924.0,30 minutes or less,2011,28000000.0,40500000.0
b179,w251,,40000000.0,97500000.0,40000000.0,95020213.0,42,2013,40000000.0,97500000.0
b194,w262,o21932,75000000.0,196500000.0,75000000.0,120908074.0,50 first dates,2004,75000000.0,196500000.0
b220,w95,,41000000.0,242900000.0,41000000.0,116750901.0,8 mile ,2002,41000000.0,242900000.0
b228,w99,,40000000.0,96600000.0,40000000.0,36663315.0,8mm ,1999,40000000.0,96600000.0
