key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,holiday_season,bom_runtime,wiki_runtime,omdb_runtime,runtime,runtime_flag
b27,w123,,"""""""10,000 bc """"""",2008,105000000.0,269800000.0,1.5695238095238095,2008-03-07 00:00:00,3.0,1.0,67.0,9.0,0.0,1 hrs. 49 min.,[109 minutes],,[109 minutes],w
b38,w299,o10558,102 dalmatians,2000,85000000.0,183600000.0,1.16,2000-11-22 00:00:00,11.0,4.0,327.0,47.0,1.0,1 hrs. 44 min.,[100 minutes],100 min,[100 minutes],w
b48,w147,,12 years a slave ,2013,17100000.0,187700000.0,9.976608187134502,2013-10-18 00:00:00,10.0,4.0,291.0,41.0,1.0,2 hrs. 13 min.,[134 minutes],,[134 minutes],w
b50,w302,o7878,127 hours,yes,18000000.0,60700000.0,2.3722222222222222,2010-11-05 00:00:00,11.0,4.0,309.0,44.0,1.0,1 hrs. 33 min.,[93 minutes],94 min,[93 minutes],w
b55,w160,,13 hours: the secret soldiers of benghazi,2016,50000000.0,70000000.0,0.4,2016-01-15 00:00:00,1.0,1.0,15.0,2.0,1.0,2 hrs. 24 min.,[144 minutes],,[144 minutes],w
b62,w338,,1408,2007,25000000.0,132000000.0,4.28,2007-06-22 00:00:00,6.0,2.0,173.0,24.0,0.0,1 hrs. 34 min.,"""[106 minutes, 112 minutes (unrated cut)]""",,"""[106 minutes, 112 minutes (unrated cut)]""",w
b63,w339,o7430,1492: conquest of paradise,8-Oct,47000000.0,7191399.0,-0.8469915106382979,1992-10-09 00:00:00,10.0,4.0,283.0,40.0,1.0,2 hrs. 28 min.,[148 minutes],154 min,[148 minutes],w
b66,w177,o19945,15 minutes,2001,42000000.0,56300000.0,0.3404761904761905,2001-03-09 00:00:00,3.0,1.0,68.0,9.0,0.0,2 hrs. 0 min.,[120 minutes],120 min,[120 minutes],w
b100,w306,o2008,200 cigarettes,1999,6000000.0,6852450.0,0.142075,1999-02-26 00:00:00,2.0,1.0,57.0,8.0,0.0,1 hrs. 41 min.,[101 minutes],101 min,[101 minutes],w
b110,w353,,2012,2009,200000000.0,769700000.0,2.8485,2009-11-13 00:00:00,11.0,4.0,317.0,45.0,1.0,2 hrs. 38 min.,[158 minutes],,[158 minutes],w
b126,w201,o9866,22 jump street,2014,84500000.0,331300000.0,2.9207100591715967,2014-06-13 00:00:00,6.0,2.0,164.0,23.0,0.0,1 hrs. 52 min.,[112 minutes],112 min,[112 minutes],w
b131,w213,o16175,25th hour,2002,5000000.0,23900000.0,3.78,2002-12-19 00:00:00,12.0,4.0,353.0,50.0,1.0,2 hrs. 14 min.,[134 minutes],135 min,[134 minutes],w
b132,w215,o16433,27 dresses,2008,30000000.0,160300000.0,4.343333333333334,2008-01-18 00:00:00,1.0,1.0,18.0,2.0,1.0,1 hrs. 47 min.,[111 minutes],111 min,[111 minutes],w
b143,w24,o9867,3 days to kill,yes,28000000.0,52600000.0,0.8785714285714286,2014-02-21 00:00:00,2.0,1.0,52.0,7.0,1.0,1 hrs. 57 min.,[117 minutes],117 min,[117 minutes],w
b154,w39,,3 strikes ,2000,3400000.0,9800000.0,1.8823529411764703,2000-03-01 00:00:00,3.0,1.0,61.0,9.0,0.0,1 hrs. 22 min.,[82 minutes],,[82 minutes],w
b160,w230,o2413,30 minutes or less,2011,28000000.0,40500000.0,0.44642857142857145,2011-08-12 00:00:00,8.0,3.0,224.0,32.0,0.0,1 hrs. 23 min.,[83 minutes],83 min,[83 minutes],w
b179,w251,,42,2013,40000000.0,97500000.0,1.4375,2013-04-12 00:00:00,4.0,2.0,102.0,14.0,0.0,2 hrs. 8 min.,[128 minutes],,[128 minutes],w
b194,w262,o21932,50 first dates,2004,75000000.0,196500000.0,1.62,2004-02-13 00:00:00,2.0,1.0,44.0,6.0,1.0,1 hrs. 36 min.,[99 minutes],99 min,[99 minutes],w
b220,w95,,8 mile ,2002,41000000.0,242900000.0,4.9243902439024385,2002-11-08 00:00:00,11.0,4.0,312.0,44.0,1.0,1 hrs. 58 min.,[110 minutes],,[110 minutes],w
b228,w99,,8mm ,1999,40000000.0,96600000.0,1.415,1999-02-26 00:00:00,2.0,1.0,57.0,8.0,0.0,2 hrs. 4 min.,[123 minutes],,[123 minutes],w
b233,w280,,90 minutes in heaven ,2015,5000000.0,4800000.0,-0.04,2015-09-11 00:00:00,9.0,3.0,254.0,36.0,1.0,2 hrs. 1 min.,[121 minutes],,[121 minutes],w
b236,w284,o9874,99 homes,2014,8000000.0,1900000.0,-0.7625,2015-09-25 00:00:00,9.0,3.0,268.0,38.0,0.0,1 hrs. 52 min.,[112 minutes],112 min,[112 minutes],w
b243,w3195,,a beautiful mind ,2001,58000000.0,313000000.0,4.396551724137931,2001-12-21 00:00:00,12.0,4.0,355.0,50.0,1.0,2 hrs. 16 min.,[135 minutes],,[135 minutes],w
b246,w3588,o2420,a better life,2011,10000000.0,1759252.0,-0.8240748,2011-06-24 00:00:00,6.0,2.0,175.0,25.0,0.0,1 hrs. 37 min.,[94 minutes],98 min,[94 minutes],w
b262,w5704,o13472,a bug's life,1998,120000000.0,363300000.0,2.0275,1998-11-20 00:00:00,11.0,4.0,324.0,46.0,1.0,1 hrs. 36 min.,[95 minutes],95 min,[95 minutes],w
b273,w7218,,a christmas carol (2009 film),2009,175000000.0,325300000.0,0.8588571428571429,2009-11-06 00:00:00,11.0,4.0,310.0,44.0,1.0,1 hrs. 36 min.,[95 minutes],,[95 minutes],w
b277,w7329,o21934,a cinderella story,2004,19000000.0,70100000.0,2.6894736842105265,2004-07-16 00:00:00,7.0,3.0,198.0,28.0,0.0,1 hrs. 36 min.,[95 minutes],95 min,[95 minutes],w
b278,w7449,,a civil action ,1998,75000000.0,56709981.0,-0.24386692,1998-12-25 00:00:00,12.0,4.0,359.0,51.0,1.0,1 hrs. 55 min.,[115 minutes],,[115 minutes],w
b285,w8796,o5308,a cure for wellness,2016,40000000.0,26300000.0,-0.3425,2017-02-17 00:00:00,2.0,1.0,48.0,7.0,1.0,2 hrs. 26 min.,[146 minutes],146 min,[146 minutes],w
b297,w10592,,a dog's purpose ,2017,22000000.0,181200000.0,7.236363636363636,2017-01-27 00:00:00,1.0,1.0,27.0,4.0,0.0,2 hrs. 0 min.,[100 minutes],,[100 minutes],w
b306,w12766,o7432,a few good men,1992,3340000000.0,243200000.0,-0.927185628742515,1992-12-11 00:00:00,12.0,4.0,346.0,49.0,0.0,2 hrs. 18 min.,[138 minutes],138 min,[138 minutes],w
b330,w15353,o963,a good day to die hard,2013,92000000.0,304700000.0,2.3119565217391305,2013-02-14 00:00:00,2.0,1.0,45.0,6.0,1.0,1 hrs. 37 min.,"""[98 minutes, January 2017]""",98 min,"""[98 minutes, January 2017]""",w
b339,w16065,o9614,a guy thing,2003,20000000.0,17432163.0,-0.12839185,2003-01-17 00:00:00,1.0,1.0,17.0,2.0,1.0,1 hrs. 41 min.,[101 minutes],101 min,[101 minutes],w
b344,w16515,o964,a haunted house,2013,2500000.0,60100000.0,23.04,2013-01-11 00:00:00,1.0,1.0,11.0,1.0,0.0,1 hrs. 20 min.,[86 minutes],86 min,[86 minutes],w
b347,w17495,o18155,a history of violence,2005,32000000.0,60700000.0,0.896875,2005-09-23 00:00:00,9.0,3.0,266.0,38.0,0.0,1 hrs. 36 min.,[96 minutes],96 min,[96 minutes],w
b361,w21073,o19954,a knight's tale,2001,65000000.0,117500000.0,0.8076923076923077,2001-05-11 00:00:00,5.0,2.0,131.0,18.0,0.0,2 hrs. 12 min.,"""[132 minutes, 138 minutes, (Extended cut)]""",132 min,"""[132 minutes, 138 minutes, (Extended cut)]""",w
b368,w21761,o7434,a league of their own,1992,40000000.0,132440069.0,2.311001725,1992-07-01 00:00:00,7.0,3.0,183.0,26.0,1.0,2 hrs. 8 min.,[128 minutes],128 min,[128 minutes],w
b384,w22967,o18157,a lot like love,2005,30000000.0,42800000.0,0.4266666666666667,2005-04-22 00:00:00,4.0,2.0,112.0,16.0,0.0,1 hrs. 37 min.,[107 minutes],107 min,[107 minutes],w
b387,w23822,o9616,a man apart,2003,36000000.0,44350926.0,0.2319701666666667,2003-04-04 00:00:00,4.0,2.0,94.0,13.0,0.0,1 hrs. 45 min.,[109 minutes],109 min,[109 minutes],w
b403,w25059,,a midsummer night's dream (1999 film),1999,11000000.0,16071990.0,0.46108999999999994,1999-05-14 00:00:00,5.0,2.0,134.0,19.0,0.0,1 hrs. 56 min.,[116 minutes],,[116 minutes],w
b406,w25069,,a mighty heart ,2007,16000000.0,18935657.0,0.1834785625,2007-06-22 00:00:00,6.0,2.0,173.0,24.0,0.0,1 hrs. 48 min.,"""[108, minutes]""",,"""[108, minutes]""",w
b408,w25157,o9882,a million ways to die in the west,2014,40000000.0,87200000.0,1.18,2014-05-30 00:00:00,5.0,2.0,150.0,21.0,1.0,1 hrs. 56 min.,[116 minutes],116 min,[116 minutes],w
b415,w25760,o9883,a most violent year,2014,20000000.0,12000000.0,-0.4,2014-12-31 00:00:00,12.0,4.0,365.0,52.0,1.0,2 hrs. 5 min.,[125 minutes],125 min,[125 minutes],w
b423,w27221,,a nightmare on elm street (2010 film),2010,35000000.0,115600000.0,2.302857142857143,2010-04-30 00:00:00,4.0,2.0,120.0,17.0,0.0,1 hrs. 30 min.,[95 minutes],,[95 minutes],w
b433,w29204,o18543,a perfect getaway,2009,14000000.0,22852638.0,0.6323312857142858,2009-08-07 00:00:00,8.0,3.0,219.0,31.0,0.0,1 hrs. 37 min.,"""[97 minutes, 107 minutes]""",98 min,"""[97 minutes, 107 minutes]""",w
b479,w34385,,a simple plan ,1998,17000000.0,16300000.0,-0.041176470588235294,1998-12-11 00:00:00,12.0,4.0,345.0,49.0,0.0,2 hrs. 1 min.,[121 minutes],,[121 minutes],w
b483,w34462,o18545,a single man,2009,7000000.0,25000000.0,2.571428571428572,2009-12-11 00:00:00,12.0,4.0,345.0,49.0,0.0,1 hrs. 39 min.,[100 minutes],99 min,[100 minutes],w
b494,w35414,,a sound of thunder ,2005,80000000.0,11700000.0,-0.85375,2005-09-02 00:00:00,9.0,3.0,245.0,35.0,1.0,1 hrs. 43 min.,[103 minutes],,[103 minutes],w
