bom_budget,bom_domestic_gross,bom_title,bom_worldwide_revenue,key_bom,key_omdb,key_wiki,omdb_title,wiki_budget,wiki_gross,wiki_title,year_bom_format,year_omdb_format,year_wiki_format,budget,gross
105000000.0,94784201.0,"""10,000 b.c.""",269784201.0,b27,,w123,,105000000.0,269800000.0,"""10,000 bc """,2008.0,,2008,105000000.0,269784201.0
85000000.0,66957026.0,102 dalmatians,183611771.0,b38,o10558,w299,102 dalmatians,85000000.0,183600000.0,102 dalmatians,2000.0,2000.0,2000,85000000.0,183611771.0
20000000.0,56671993.0,12 years a slave,187733202.0,b48,,w147,,17100000.0,187700000.0,12 years a slave ,2013.0,,2013,20000000.0,187733202.0
18000000.0,18335230.0,127 hours,60738797.0,b50,o7878,w302,127 hours,18000000.0,60700000.0,127 hours,2010.0,2010.0,yes,18000000.0,60738797.0
50000000.0,52853219.0,13 hours: the secret soldiers of benghazi,69411370.0,b55,,w160,,50000000.0,70000000.0,13 hours: the secret soldiers of benghazi,2016.0,,2016,50000000.0,69411370.0
25000000.0,71985628.0,1408,131998242.0,b62,,w338,,25000000.0,132000000.0,1408,2007.0,,2007,25000000.0,131998242.0
47000000.0,7191399.0,1492: conquest of paradise,0.0,b63,o7430,w339,1492: conquest of paradise,47000000.0,7191399.0,1492: conquest of paradise,1992.0,1992.0,8-Oct,47000000.0,7191399.0
60000000.0,24403552.0,15 minutes,56359980.0,b66,o19945,w177,15 minutes,42000000.0,56300000.0,15 minutes,2001.0,2001.0,2001,60000000.0,56359980.0
6000000.0,6852450.0,200 cigarettes,0.0,b100,o2008,w306,200 cigarettes,6000000.0,6852450.0,200 cigarettes,1999.0,1999.0,1999,6000000.0,6852450.0
200000000.0,166112167.0,2012,769679473.0,b110,,w353,,200000000.0,769700000.0,2012,2009.0,,2009,200000000.0,769679473.0
50000000.0,191719337.0,22 jump street,331333876.0,b126,o9866,w201,22 jump street,84500000.0,331300000.0,22 jump street,2014.0,2014.0,2014,50000000.0,331333876.0
5000000.0,13084595.0,25th hour,23928503.0,b131,o16175,w213,25th hour,5000000.0,23900000.0,25th hour,2002.0,2002.0,2002,5000000.0,23928503.0
30000000.0,76808654.0,27 dresses,160259319.0,b132,o16433,w215,27 dresses,30000000.0,160300000.0,27 dresses,2008.0,2008.0,2008,30000000.0,160259319.0
28000000.0,30697999.0,3 days to kill,52597999.0,b143,o9867,w24,3 days to kill,28000000.0,52600000.0,3 days to kill,2014.0,2014.0,yes,28000000.0,52597999.0
